Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,79.900002,80.699997,75.500000,76.150002,76.150002,742432
2020-02-04,77.199997,78.900002,76.750000,77.699997,77.699997,320167
2020-02-05,77.750000,79.099998,76.449997,76.800003,76.800003,311932
2020-02-06,77.000000,78.900002,76.599998,77.050003,77.050003,360692
2020-02-07,77.650002,78.849998,75.500000,77.949997,77.949997,505662
2020-02-10,81.300003,83.900002,79.300003,80.650002,80.650002,2777095
2020-02-11,81.050003,81.449997,77.199997,77.800003,77.800003,473235
2020-02-12,78.599998,80.550003,75.349998,76.000000,76.000000,543547
2020-02-13,76.650002,76.650002,73.349998,74.000000,74.000000,877094
2020-02-14,74.750000,75.599998,72.500000,73.199997,73.199997,258217
2020-02-17,73.250000,73.849998,70.300003,70.699997,70.699997,241491
2020-02-18,71.400002,71.400002,67.949997,69.300003,69.300003,361317
2020-02-19,69.550003,71.949997,69.550003,70.300003,70.300003,336817
2020-02-20,70.099998,70.650002,69.099998,69.800003,69.800003,236393
2020-02-24,69.199997,69.800003,68.000000,68.199997,68.199997,212371
2020-02-25,68.500000,68.750000,65.849998,66.650002,66.650002,634622
2020-02-26,66.000000,67.349998,65.550003,66.500000,66.500000,203184
2020-02-27,66.849998,66.849998,64.150002,64.750000,64.750000,256829
2020-02-28,62.000000,64.300003,60.099998,60.799999,60.799999,498317
2020-03-02,61.549999,63.299999,59.299999,60.599998,60.599998,266717
